Key,Text
BUILD_ALCHEMYTABLE_DESC,Prepara pozioni e tonici semplici.
BUILD_ALCHEMYTABLE_NAME,Tavolo d'alchimia
BUILD_ALPHAFURRUG_DESC,Un tappeto ricavato dalla pelliccia di un lupo alfa.
BUILD_ALPHAFURRUG_NAME,Tappeto di Pelliccia Alfa
BUILD_APPLETREEPLOT_DESC,Un melo cresciuto da seme. Raccogli il frutto quando matura.
BUILD_APPLETREEPLOT_NAME,Appezzamento di Meli
BUILD_BARRELCHAIR_DESC,Una sedia a botte dal Villaggio di Earlwood.
BUILD_BARRELCHAIR_NAME,Sedia a Botte
BUILD_BASILTONGARDEN_DESC,Un assortimento dal Giardino di Basilton. Puramente decorativo.
BUILD_BASILTONGARDEN_NAME,Giardino di Basilton
BUILD_BRAZIER_DESC,Un ampio braciere per una luce intensa e costante.
BUILD_BRAZIER_NAME,Braciere
BUILD_CAMPFIRE_DESC,Cucina cibo semplice e illumina il campo.
BUILD_CAMPFIRE_NAME,Falò
BUILD_CAMPFIRECLONE_NAME,Vecchio Falò
BUILD_CHICKENCOOP_DESC,Un pollaio. Produce periodicamente uova da raccogliere.
BUILD_CHICKENCOOP_NAME,Pollaio
BUILD_COPPERQUARRY_DESC,Una cava che produce periodicamente rame da raccogliere.
BUILD_COPPERQUARRY_NAME,Cava di Rame
BUILD_CORRUPTEDTREANTTROPHY_DESC,Un cupo trofeo ricavato da un Treant corrotto.
BUILD_CORRUPTEDTREANTTROPHY_NAME,Trofeo di Treant Corrotto
BUILD_DAISYPATCH_DESC,Un'aiuola di margherite. Puramente decorativa.
BUILD_DAISYPATCH_NAME,Aiuola di Margherite
BUILD_DIRTPATCH_DESC,Una zona di terra arata. Puramente decorativa. Costruiscici sopra quel che vuoi.
BUILD_DIRTPATCH_NAME,Zona di Terra
BUILD_DROOPFARM_DESC,Un allevamento di Droop. Produce periodicamente Nuclei di Droop da raccogliere.
BUILD_DROOPFARM_NAME,Allevamento di Droop
BUILD_DUMMY_DESC,Un manichino da allenamento in legno.
BUILD_DUMMY_NAME,Manichino da allenamento
BUILD_EARLWOODBANNER_DESC,Uno stendardo dal Villaggio di Earlwood.
BUILD_EARLWOODBANNER_NAME,Stendardo di Earlwood
BUILD_EARLWOODBED_DESC,Un robusto letto da villaggio per dormire e recuperare. Usalo per dormire. \n Conferisce il Bonus Ben Riposato: \n Bonus XP dai mostri: 15% \n Calo del nutrimento ridotto: 10% \n Durata: 15 minuti
BUILD_EARLWOODBED_NAME,Letto di Earlwood
BUILD_EARLWOODFENCE_DESC,Recinzione di Earlwood.
BUILD_EARLWOODFENCE_NAME,Recinto di Earlwood
BUILD_EARLWOODFENCEGATE_DESC,Un cancello abbastanza largo da farci passare un carro.
BUILD_EARLWOODFENCEGATE_NAME,Cancello di Earlwood
BUILD_EARLWOODPOTPLANT_DESC,Piante in vaso dal Villaggio di Earlwood.
BUILD_EARLWOODPOTPLANT_NAME,Pianta in Vaso di Earlwood
BUILD_EARLWOODWALLBANNER_DESC,Uno stendardo da muro dal Villaggio di Earlwood.
BUILD_EARLWOODWALLBANNER_NAME,Stendardo da Muro di Earlwood
BUILD_EMBERBLOOMPLOT_DESC,Un appezzamento seminato a Emberbloom. Raccogli quando matura.
BUILD_EMBERBLOOMPLOT_NAME,Appezzamento di Emberbloom
BUILD_EMPTYPLOT_NAME,Appezzamento Vuoto
BUILD_EMPTYPLOTB_NAME,Appezzamento Vuoto
