Key,Text
INSCENE_EARLWOODFARMLANDSPARTI_NOTIF_7682E0,Hai appreso informazioni sulla Pianta di Worp
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_04F067,"Salve, avventuriero! Al momento le nostre pattuglie si limitano a questo perimetro. Però, ora che ci penso, ho visto un plotone dirigersi verso i meleti…"
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_0CA410,"Un'insegna delle guardie è impigliata nel sottobosco: qualcuno di loro deve essere passato di qui. Strano, non è una via che le guardie usano di solito."
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_23A17C,Amore… dove sei? Perché il letto dei bambini è vuoto? Perché… perché la casa è vuota?
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_25BDF7,"""Eh? Cosa... li hai fatti fuori? Beh, avevo la situazione sotto controllo, ma grazie dell'aiuto. Prendi qualche mela dal raccolto e prosegui per la tua strada."""
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_2D122E,Qualcuno è inciampato qui e ha perso alcune frecce; sulle punte si riconosce il marchio di Manga.
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_2D5DA0,"Un'insegna delle guardie è impigliata nel sottobosco: qualcuno di loro deve essere passato di qui. Strano, non è una via che le guardie usano di solito."
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_305412,Qualcuno è inciampato qui e ha perso alcune frecce; sulle punte si riconosce il marchio di Manga.
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_32CC54,La pecora corre verso casa.
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_32CC6D,La pecora corre verso casa.
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_32CC71,La pecora corre verso casa.
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_362ECB,Ti prego… non farci del male. Non abbiamo nulla. Ti prego… lasciaci andare
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_42AA3F,Frughi tra i rottami e trovi un palo da recinto!
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_44E44C,"Salve, avventuriero! Al momento le nostre pattuglie si limitano a questo perimetro. Però, ora che ci penso, ho visto un plotone dirigersi verso i meleti…"
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_472433,"Nessuna traccia dell'esploratore qui, solo un Varco e un alto punto d'osservazione che domina le terre coltivate."
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_54C7F7,Sul terreno si distinguono impronte di schinieri; la profondità rivela che chi le ha lasciate portava un carico pesante. Conducono verso nordest.
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_5535CE,"""Uff... Grazie dell'aiuto, amico! Ci siamo fermati a mangiare un boccone tornando dal Campo di Corin. Prendi qualche mela. Te la sei più che meritata, eheh."""
