English	Italiano
(Best to Least)	(Dal migliore al peggiore)
(MAX)	(MAX)
+{0} XP	+{0} XP
+{0}% XP, -{1}% decay	+{0}% XP, -{1}% decadimento
...or hold	...o tieni premuto
1 point	1 punto
100G buy-in required to play	Serve un ingresso da 100G per giocare
10h left	10h rimanenti
<color=#FFDA00>Move</color> around with	<color=#FFDA00>Muoviti</color> con
[Server]	[Server]
A banner from Earlwood Village.	Uno stendardo dal Villaggio di Earlwood.
A barrel chair from Earlwood Village.	Una sedia a botte dal Villaggio di Earlwood.
A basic colored frayed rug.	Un semplice tappeto logoro colorato.
A basic colored linen rug.	Un semplice tappeto di lino colorato.
A building foundation made of Heart Oak.	Una fondazione in Quercia del Cuore.
A coop for chickens. Periodically produces eggs for harvest.	Un pollaio. Produce periodicamente uova da raccogliere.
A daisy patch. Purely decorative.	Un'aiuola di margherite. Puramente decorativa.
A floor rug made from alpha wolf fur.	Un tappeto ricavato dalla pelliccia di un lupo alfa.
A gate wide enough to walk a cart through.	Un cancello abbastanza largo da farci passare un carro.
A grass patch. Purely decorative.	Una zona d'erba. Puramente decorativa.
A green garden. Purely decorative.	Un giardino verde. Puramente decorativo.
A Heartwood door frame.	Un telaio in durame.
A large mounted fish. Purely decorative.	Un grande pesce impagliato. Puramente decorativo.
A mill that periodically produces Heart Oak for collection.	Un mulino che produce periodicamente Quercia del Cuore da raccogliere.
A new day awakens...	Un nuovo giorno si risveglia...
A Pinewood door frame.	Un telaio di pino.
A pinewood foundation for a home.	Una fondazione di pino per una casa.
A pinewood window that lets daylight through a wall.	Una finestra di pino che lascia entrare la luce del giorno.
A quarry that periodically produces copper for collection.	Una cava che produce periodicamente rame da raccogliere.
A quarry that periodically produces stone for collection.	Una cava che produce periodicamente pietra da raccogliere.
A Stone door frame.	Un telaio di pietra.
A Stone floor for a home.	Un pavimento di pietra per una casa.
A sturdy table for homes and halls.	Un tavolo robusto per case e sale.
A sunflower patch. Purely decorative.	Un'aiuola di girasoli. Puramente decorativa.
A traditional hero, always acting with honor and chivalry.\n	Un eroe tradizionale, sempre mosso da onore e cavalleria.\n
A wall-mounted banner from Earlwood Village.	Uno stendardo da muro dal Villaggio di Earlwood.
A water well. Periodically produces Water for collection.	Un pozzo d'acqua. Produce periodicamente Acqua da raccogliere.
A wooden training dummy.	Un manichino da allenamento in legno.
A workstation or production building is supplying you too.	Anche una postazione o un edificio di produzione ti rifornisce.
A {0} has killed {1}	Un {0} ha ucciso {1}
A {0} has killed {1} with {2}	Un {0} ha ucciso {1} con {2}
Abandon	Abbandona
Abandoned Camp	Campo Abbandonato
Abandoned Farmsteads	Fattorie Abbandonate
Abandoned Homestead	Fattoria Abbandonata
Accelerated Casting	Lancio Accelerato
Accept	Accetta
ACCEPT	ACCETTA
Ace	Asso
Acorn	Ghianda
Action	Azione
Active	Attivo
active	attivo
Active effect - only the strongest instance applies.	Effetto attivo: vale solo l'istanza più forte.
Adept Emblem	Emblema dell'Adepto
Adjust Deed Level	Regola il livello dell'incarico
Adjust Difficulty	Regola la difficoltà
Adjust Difficulty Level	Regola il livello di difficoltà
Adjust Lobby Number	Regola il numero della lobby
Adjust Materials	Regola i materiali
Adjust Player Limit	Regola il limite dei giocatori
Adjust Value	Regola il valore
Adlan	Adlan
Adrenaline	Adrenalina
Advanced	Avanzate
Adventure	Avventura
Adventure:	Avventura:
Adventurers B1 - Corin's Followers	Avventurieri B1 - Seguaci di Corin
Adventurers’ Guild	Gilda degli Avventurieri
Aelwynor	Aelwynor
Aelwynor The Wildroot Father	Aelwynor il Padre delle Radici Selvatiche
