Key,Text
NPC_AELWYNOR_GREETING_19b8a76b-35e3-496b-99ca-6fdd00dc8f3e,"*Il titano di corteccia e corna giace esausto sotto l'albero antico, le membra abbandonate, le radici sciolte. I rami che si dibattevano furiosi ora pendono immobili. Quando la presenza del Re della Foresta ti sfiora ancora la mente, la tempesta è passata; resta soltanto il peso delle conseguenze.*\n\n""La mia volontà… Credevo di sottrarla alle catene della Madre. Ora vedo soltanto una scia di cenere alle mie spalle. Questo… è ciò che ho fatto."""
NPC_AELWYNOR_GREETING_d75cc77a-cc85-4a0b-8c00-63a37612046f,"*Wildwood si apre su un'immensa radura alberata. Al centro si erge un albero di altezza inconcepibile, la cui chioma si perde tra le fronde sovrastanti. Alle sue radici si staglia un cervo grande quanto una fortezza, i fianchi avvolti da corteccia viva e radici attorcigliate. I suoi occhi incontrano i tuoi, antichi e insondabili, e una voce preme nella tua mente.*\n\n""Mortale. Ti trovi dove la tua stirpe ha da tempo perduto il diritto di posare il piede. Ho sigillato questo sentiero, rivolto radici e pietra contro di voi, e ancora ti apri un varco con gli artigli nel cuore più sacro della nostra dimora. Creature tanto ostinate… per vite tanto brevi. Perché sei qui?"""
NPC_AELWYNOR_NAME,Aelwynor
NPC_AELWYNOR_PLAYER_17702b29-d31e-4867-8d5b-3f87bfa28c7b_HEROIC,Senti anche tu che è ingiusto. Gli abitanti sono stati costretti a erigere difese contro i Goblin.
NPC_AELWYNOR_PLAYER_17702b29-d31e-4867-8d5b-3f87bfa28c7b_JOKER,Persino tu sai che non torna. Delle mura contro i Goblin non sono certo un insulto.
NPC_AELWYNOR_PLAYER_17702b29-d31e-4867-8d5b-3f87bfa28c7b_SCHOLAR,Ne riconosci l'ingiustizia. Gli abitanti hanno costruito le mura perché i Goblin li hanno costretti.
NPC_AELWYNOR_PLAYER_17702b29-d31e-4867-8d5b-3f87bfa28c7b_STOIC,Sai che non è giusto. Gli abitanti dovevano difendersi dai Goblin.
NPC_AELWYNOR_PLAYER_19cdd6b7-199a-492b-ba94-d8ff8add6348_HEROIC,"La lotta è finita. Riposa, ora: col tempo ritroverai le forze."
NPC_AELWYNOR_PLAYER_19cdd6b7-199a-492b-ba94-d8ff8add6348_JOKER,Questione chiusa. Riposa bene e ricresci più verde di prima.
NPC_AELWYNOR_PLAYER_19cdd6b7-199a-492b-ba94-d8ff8add6348_SCHOLAR,Finisce qui. Riposa. Il tempo ricostituirà ciò che la rabbia ha consumato.
