Key,Text
DEED_ALPHAWOLFBOUNTY_DESC,"""Un nuovo alfa guida i branchi nella parte orientale di Wildwood e ogni notte gli ululati si avvicinano. Elimina il capobranco.""\n - Rahaner"
DEED_ALPHAWOLFBOUNTY_NAME,Taglia sul Lupo alfa
DEED_ASSAULTTHEMILL_DESC,"""Il Mulino di Haylor è diventato un covo di goblin. Guida un assalto, elimina parte dei razziatori e ricorda loro che tenerlo ha un prezzo.""\n - Rahaner"
DEED_ASSAULTTHEMILL_NAME,Assalto al mulino
DEED_BEASTWARDENBOUNTY_DESC,"""Una Custode delle Bestie spinge le creature selvatiche contro le nostre vie di transito. Trovala e spezza il suo dominio per dare respiro a esploratori e carovane.""\n - Rahaner"
DEED_BEASTWARDENBOUNTY_NAME,Taglia sulla Custode delle Bestie
DEED_BRIARHEARTBOUNTY_DESC,"""Briarheart arde di nuovo nel cuore di Wildwood, e ogni forma di vita nei dintorni brucia o fugge. Estirpa il fuoco alla radice.""\n - Rahaner"
DEED_BRIARHEARTBOUNTY_NAME,Taglia su Briarheart
DEED_BRUTALBASHERS_DESC,"""I Goblin Picchiatori si aggirano in gruppi per i campi, spezzando ossa e coraggio. Scovane una banda e stendili, così gli altri ci penseranno due volte.""\n - Rahaner"
DEED_BRUTALBASHERS_NAME,Picchiatori brutali
DEED_CLEARINGOUTBIGCATS_DESC,"""Cacciatori corrotti si annidano nei boschi bui, in attesa di avventurieri incauti. Eliminali e dimostra che non tutti gli avventurieri sono prede.""\n - Eldorian"
DEED_CLEARINGOUTBIGCATS_NAME,Cacciatori corrotti
DEED_CLEARINGOUTPACKS_DESC,"""I lupi si annidano nelle ombre della foresta. Abbattili, prima che colgano qualcuno alla sprovvista.""\n - Eldorian"
DEED_CLEARINGOUTPACKS_NAME,Branchi da sfoltire
DEED_CLEARINGOUTSTABBERS_DESC,"""Malvagi e spietati, i Goblin Squartatori si nascondono tra i fitti alberi di Wildwood. Scovali ed eliminali.""\n - Eldorian"
DEED_CLEARINGOUTSTABBERS_NAME,Squartatori da abbattere
DEED_CLEARINGOUTTHECORRUPTION_DESC,"""La corruzione avanza dalla parte orientale di Wildwood verso la strada. Elimina le radici e gli spiriti più corrotti lungo il sentiero, poi riferisci fin dove si è diffusa.""\n - Eldorian"
DEED_CLEARINGOUTTHECORRUPTION_NAME,Bonifica della corruzione
DEED_CLEARINGOUTTHEYARD_DESC,"""Il Deposito di Cordwyn è sotto il tallone dei goblin, che usano le nostre cataste come riparo. Fatti strada, sfoltiscili e rendi la zona abbastanza tranquilla da far passare carri e operai sotto scorta.""\n - Rahaner"
DEED_CLEARINGOUTTHEYARD_NAME,Liberazione del deposito
DEED_CLEARINGOUTTREES_DESC,"""Il sentiero verso il Re della Foresta è pericoloso per via dei tanti alberi letali. Estirpa il male alla radice e riferisci che la via è libera.""\n - Eldorian"
DEED_CLEARINGOUTTREES_NAME,Abbattimento dei Treant
DEED_CLEARTHEFORESTNEARTHEROAD_DESC,"""Lupi e creature peggiori si sono avvicinati troppo alla strada della foresta. Sfoltisci i branchi che cacciano lungo il sentiero, così chi passa non sentirà sempre le zanne alle calcagna.""\n - Eldorian"
DEED_CLEARTHEFORESTNEARTHEROAD_NAME,Ripulisci la foresta lungo la strada
DEED_CORRUPTEDDROOPKINGBOUNTY_DESC,"""Qualunque cosa la corruzione abbia fatto a quell'essere, non l'ha reso più amichevole. Il Re Droop Corrotto sta di nuovo riversando lordura a Wildwood. Metti fine alla cosa.""\n - Rahaner"
DEED_CORRUPTEDDROOPKINGBOUNTY_NAME,Taglia sul Re Droop Corrotto
DEED_CULLTHECAMP_DESC,"""Il Campo di Northcut è un altro anello nella catena dei goblin attraverso i campi. Colpiscilo, indeboliscili e ritirati prima che ti travolgano.""\n - Rahaner"
DEED_CULLTHECAMP_NAME,Assalto al campo
DEED_DROOPKINGBOUNTY_DESC,"""Le piogge hanno di nuovo allagato i campi e il Re Droop è tornato sul suo trono di fango. Abbattilo prima che la sua progenie sommerga tutti i terreni agricoli.""\n - Rahaner"
DEED_DROOPKINGBOUNTY_NAME,Taglia sul Re Droop
DEED_EMBERBLOOMSNEEDED_DESC,"""La solita brodaglia ogni sera logora più del freddo. Portami degli Emberbloom e ridarò colore e sapore alla pentola. Fa miracoli per gli animi stanchi.""\n - Saqi"
DEED_EMBERBLOOMSNEEDED_NAME,Richiesta di Emberbloom
DEED_FOODSCRAPSREQUEST_DESC,"""I profughi arrivano più in fretta di quanto riesca ad allungare lo stufato. Se hai mele o carne di caccia in più, donale alla bacheca e ne farò pasti caldi.""\n - Saqi"
DEED_FOODSCRAPSREQUEST_NAME,Richiesta di avanzi
DEED_GOTBURGBOUNTY_DESC,"""Gotburg l'Ustionato è sopravvissuto ai suoi stessi fuochi d'artificio, purtroppo. Finisci ciò che la sua cerimonia ha iniziato.""\n - Rahaner"
DEED_GOTBURGBOUNTY_NAME,Taglia su Gotburg
DEED_HIGHPRIESTESSBOUNTY_DESC,"""La Somma Sacerdotessa sta di nuovo salmodiando su quella pozza maledetta. Qualunque cosa stia invocando, fermala prima che risponda.""\n - Rahaner"
DEED_HIGHPRIESTESSBOUNTY_NAME,Taglia sulla Somma Sacerdotessa
DEED_HORDEKINGSBOUNTY_DESC,"""Il Re del Tesoro è tornato strisciando al suo bottino nelle Caverne dei Goblin, e i suoi razziatori si fanno più audaci ogni giorno. Irrompi nella sua tana e abbattilo.""\n - Rahaner"
DEED_HORDEKINGSBOUNTY_NAME,Taglia sul Re del Tesoro
DEED_KINGSPATHPATROL_DESC,"""Il sentiero verso il Re della Foresta è incerto, difficile da trovare nel buio della foresta corrotta. Esplora i boschi, annota i punti di riferimento e porta le informazioni alla gilda.""\n - Eldorian"
DEED_KINGSPATHPATROL_NAME,Pattuglia sul sentiero del Re
DEED_MEATSTOCKPILE_DESC,"""I goblin hanno soffocato i nostri campi; il grano da solo non basta a tenere in piedi la gente. Porta Carne di Bestia: la farò cuocere, salare e spedire dove la fame morde di più.""\n - Saqi"
DEED_MEATSTOCKPILE_NAME,Scorte di carne
DEED_RETURNTOTHEFORESTTHRONE_DESC,"""Il Re della Foresta è sconfitto, ma il trono ricorda la battaglia. Ripercorri il sentiero e metti alla prova la tua forza contro il ricordo di quello scontro.""\n - Rahaner"
DEED_RETURNTOTHEFORESTTHRONE_NAME,Ritorno al Trono della Foresta
DEED_RIVERCALLERBOUNTY_DESC,"""Una Rivercaller sta scatenando la frenesia nel fiume e nelle sue creature. Cercala lungo le rive e metti a tacere il suo canto prima che attiri qualcosa che non siamo pronti ad affrontare.""\n - Rahaner"
DEED_RIVERCALLERBOUNTY_NAME,Taglia sulla Rivercaller
DEED_ROADPATROL_DESC,"""La strada principale che attraversa i campi è ancora piena di tracce dei goblin. Percorrila, annota dove si muovono e attaccano e riporta i dettagli alla Gilda.""\n - Eldorian"
DEED_ROADPATROL_NAME,Pattuglia sulla strada
DEED_ROOTWEAVERBOUNTY_DESC,"""Una Tessiradici sta trasformando il sottobosco in trappole e muri. Trova questa maga, distruggi la sua opera e rendi di nuovo percorribile la foresta, almeno per un po'.""\n - Rahaner"
DEED_ROOTWEAVERBOUNTY_NAME,Taglia sulla Tessiradici
DEED_SCOUTOLDCAMPS_DESC,"""I vecchi edifici abbandonati possono offrire riparo a viandanti e bisognosi. Visitali per vedere se qualcuno ha bisogno di aiuto.""\n - Eldorian"
DEED_SCOUTOLDCAMPS_NAME,Ricognizione dei vecchi campi
DEED_SCOUTTHEEASTERNWILDWOOD_DESC,"""Da mesi la parte orientale di Wildwood non conosce quiete. Infilati tra i rami, cerca vegetazione contorta e torna sano e salvo a raccontarci cos'hai visto.""\n - Eldorian"
DEED_SCOUTTHEEASTERNWILDWOOD_NAME,Ricognizione di Wildwood orientale
DEED_SCOUTTHEFORESTROAD_DESC,"""La strada di Wildwood è in parte via commerciale, in parte imboscata in attesa di vittime. Esplorala tutta, tieni d'occhio il bosco e annota tracce di goblin o tane vicino al sentiero.""\n - Eldorian"
DEED_SCOUTTHEFORESTROAD_NAME,Ricognizione della strada forestale
DEED_SCOUTTHEPERIMETER_DESC,"""Fattorie e recinti attorno a Earlwood sono sotto assedio costante. Gira attorno ai campi esterni, cerca pali spezzati, tracce fresche o nuovi accampamenti e riferisci ciò che trovi.""\n - Eldorian"
DEED_SCOUTTHEPERIMETER_NAME,Ricognizione del perimetro
DEED_SMASHMOUTHBOUNTY_DESC,"""Smashmouth è tornato a colpire i nostri recinti con quella sua clava. Spezza la clava e lui, prima che i goblin riprendano coraggio.""\n - Rahaner"
DEED_SMASHMOUTHBOUNTY_NAME,Taglia su Smashmouth
DEED_STONENEEDED_DESC,"""Le mura, le strade e metà dei gradini della mia cantina cadono a pezzi. Porta pietra tagliata: la farò avere ai muratori prima che qualcuno ne faccia uno sgabello.""\n - Saqi"
DEED_STONENEEDED_NAME,Richiesta di pietra
DEED_THECORRUPTEDBEASTRETURNS_DESC,"""Il treant che abbiamo abbattuto è risorto, più corrotto di prima. Trova il Treant corrotto a Wildwood e abbattilo per bene, prima che sfoghi la sua furia su Earlwood.""\n - Rahaner"
DEED_THECORRUPTEDBEASTRETURNS_NAME,Il ritorno della bestia corrotta
DEED_THEETSNEEDED_DESC,"""In tempo di guerra non si butta nulla, nemmeno le carcasse dei mostri. Portami Denti di Goblin e ne ricaverò medicine.""\n - Saqi"
DEED_THEETSNEEDED_NAME,Richiesta di Denti di Goblin
DEED_THINNINGOUTTHEFIELDS_DESC,"""I goblin occupano i nostri campi da mesi. Vai a sfoltire le loro file, così la nostra gente potrà lavorare sotto scorta con meno rischi.""\n - Rahaner"
DEED_THINNINGOUTTHEFIELDS_NAME,Sfoltimento nei campi
DEED_WILDWOODPINENEEDED_DESC,"""Ponti, brande e barricate hanno tutti bisogno di legname. Porta del buon Pino di Wildwood al deposito, così i carpentieri potranno riparare ciò che i goblin continuano a rompere.""\n - Saqi"
DEED_WILDWOODPINENEEDED_NAME,Richiesta di Pino di Wildwood
QUEST_ABANDONEDCORPSE_DESC,Il cadavere di un profugo giace poco più avanti.
QUEST_ABANDONEDCORPSE_NAME,Cadavere abbandonato
QUEST_ABANDONEDCORPSE_TASKGROUP_0_DESC,Esamina il cadavere
QUEST_ABANDONEDCORPSE_TASKGROUP_0_TASK_0,Perquisisci il cadavere
QUEST_ABANDONEDCORPSE_TASKGROUP_1_DESC,Imboscata
QUEST_ABANDONEDCORPSE_TASKGROUP_1_TASK_0,Uccidi gli assalitori
QUEST_AFIRSTADVENTURE_DESC,Trova il bambino disperso e riportalo a casa.
QUEST_AFIRSTADVENTURE_NAME,Una prima avventura
QUEST_AFIRSTADVENTURE_TASKGROUP_0_DESC,In giro
QUEST_AFIRSTADVENTURE_TASKGROUP_0_TASK_0,Trova il bambino disperso nella foresta
QUEST_AFIRSTADVENTURE_TASKGROUP_1_DESC,Si torna a casa
QUEST_AFIRSTADVENTURE_TASKGROUP_1_TASK_0,Torna da Befr
QUEST_ALPHAWOLFBOUNTY_DESC,Dai la caccia al nuovo lupo alfa nella parte orientale di Wildwood.
QUEST_ALPHAWOLFBOUNTY_NAME,Taglia sul Lupo alfa
QUEST_ALPHAWOLFBOUNTY_TASKGROUP_0_DESC,Uccidi il Lupo alfa
QUEST_ALPHAWOLFBOUNTY_TASKGROUP_0_TASK_0,Uccidi il Lupo di Wildwood alfa
QUEST_AMBUSHATTHECIRCLE_DESC,Scopri dove si trova Basilton.
QUEST_AMBUSHATTHECIRCLE_NAME,Imboscata al cerchio
QUEST_AMBUSHATTHECIRCLE_TASKGROUP_0_DESC,Controlla come sta Basilton
QUEST_AMBUSHATTHECIRCLE_TASKGROUP_0_TASK_0,Cerca Basilton nel giardino
QUEST_AMBUSHATTHECIRCLE_TASKGROUP_1_DESC,Respingi i rinforzi
QUEST_AMBUSHATTHECIRCLE_TASKGROUP_1_TASK_0,Trova Basilton all'incontro a Wildwood
QUEST_AMBUSHATTHECIRCLE_TASKGROUP_2_DESC,Aiuta Basilton
QUEST_AMBUSHATTHECIRCLE_TASKGROUP_2_TASK_0,Respingi l'imboscata e proteggi Basilton
QUEST_AMBUSHATTHECIRCLE_TASKGROUP_3_DESC,Parla con Basilton
QUEST_AMBUSHATTHECIRCLE_TASKGROUP_3_TASK_0,Controlla come sta Basilton
QUEST_AMBUSHATTHECIRCLE_TASKGROUP_4_DESC,Parla con Basilton
QUEST_AMBUSHATTHECIRCLE_TASKGROUP_4_TASK_0,Parla con Basilton del giardino
QUEST_AMERCHANTSLOSTTOOLS_DESC,Aiuta il vecchio mercante a ritrovare i suoi attrezzi.
QUEST_AMERCHANTSLOSTTOOLS_NAME,Gli attrezzi perduti del mercante
QUEST_AMERCHANTSLOSTTOOLS_TASKGROUP_0_DESC,La ricerca
QUEST_AMERCHANTSLOSTTOOLS_TASKGROUP_0_TASK_0,Trova gli attrezzi perduti
QUEST_AMERCHANTSLOSTTOOLS_TASKGROUP_1_DESC,Imboscata
QUEST_AMERCHANTSLOSTTOOLS_TASKGROUP_1_TASK_0,Uccidi gli assalitori
QUEST_AMERCHANTSLOSTTOOLS_TASKGROUP_2_DESC,Torna da Befr
QUEST_AMERCHANTSLOSTTOOLS_TASKGROUP_2_TASK_0,Torna da Befr
QUEST_ASSAULTTHEMILL_DESC,Colpisci i razziatori goblin che occupano il Mulino di Haylor.
QUEST_ASSAULTTHEMILL_NAME,Assalto al mulino
QUEST_ASSAULTTHEMILL_TASKGROUP_0_DESC,Uccidi i Goblin
QUEST_ASSAULTTHEMILL_TASKGROUP_0_TASK_0,Uccidi i Goblin Squartatori
QUEST_ASSAULTTHEMILL_TASKGROUP_0_TASK_1,Uccidi i Goblin Flaskrat
QUEST_AVERYFUNNYHOUSE_DESC,Indaga sull'accampamento sospetto.
QUEST_AVERYFUNNYHOUSE_NAME,Una casa molto buffa
QUEST_AVERYFUNNYHOUSE_TASKGROUP_0_DESC,Esamina l'accampamento
QUEST_AVERYFUNNYHOUSE_TASKGROUP_0_TASK_0,Indaga sull'accampamento sospetto
QUEST_AVERYFUNNYHOUSE_TASKGROUP_1_DESC,Uccidi gli assalitori
QUEST_AVERYFUNNYHOUSE_TASKGROUP_1_TASK_0,Uccidi i goblin che ti hanno teso l'imboscata
QUEST_AVILLAGEINCRISIS_DESC,Aiuta gli abitanti del Villaggio di Earlwood.
QUEST_AVILLAGEINCRISIS_NAME,Un villaggio in crisi
QUEST_AVILLAGEINCRISIS_TASKGROUP_0_DESC,Aiuta gli abitanti di Earlwood
QUEST_AVILLAGEINCRISIS_TASKGROUP_0_TASK_0,"Parla con Tamsin e completa la missione ""La richiesta della tessitrice"""
QUEST_AVILLAGEINCRISIS_TASKGROUP_0_TASK_1,"Parla con Befr e completa la missione ""Gli attrezzi perduti del mercante"""
QUEST_AVILLAGEINCRISIS_TASKGROUP_1_DESC,Controlla come sta Alaric
QUEST_AVILLAGEINCRISIS_TASKGROUP_1_TASK_0,Torna da Alaric
QUEST_BEASTWARDENBOUNTY_DESC,Dai la caccia alla Custode delle Bestie che spinge le creature selvatiche contro le vie di transito.
QUEST_BEASTWARDENBOUNTY_NAME,Taglia sulla Custode delle Bestie
QUEST_BEASTWARDENBOUNTY_TASKGROUP_0_DESC,Uccidi la Custode delle Bestie
QUEST_BEASTWARDENBOUNTY_TASKGROUP_0_TASK_0,Uccidi la Custode delle Bestie
QUEST_BEASTWARDENBOUNTY_TASKGROUP_0_TASK_1,Uccidi i Lupi
QUEST_BEASTWARDENSISTERS_DESC,Senti un canto provenire dalle vicine Rovine degli Antichi...
QUEST_BEASTWARDENSISTERS_NAME,Le sorelle delle rovine
QUEST_BEASTWARDENSISTERS_TASKGROUP_0_DESC,Sconfiggi le Sorelle Driadi
QUEST_BEASTWARDENSISTERS_TASKGROUP_0_TASK_0,Uccidi le Custodi delle Bestie
QUEST_BLINDREVENGEI_DESC,Annienta l'avanguardia dei goblin.
QUEST_BLINDREVENGEI_NAME,Vendetta cieca
QUEST_BLINDREVENGEI_TASKGROUP_0_DESC,Uccidi i Goblin
QUEST_BLINDREVENGEI_TASKGROUP_0_TASK_0,Sconfiggi l'avanguardia dei Goblin
QUEST_BLINDREVENGEII_DESC,Annienta l'avanguardia dei goblin.
QUEST_BLINDREVENGEII_NAME,Vendetta cieca
QUEST_BLINDREVENGEII_TASKGROUP_0_DESC,Uccidi i Goblin
QUEST_BLINDREVENGEII_TASKGROUP_0_TASK_0,Sconfiggi l'avanguardia dei Goblin
QUEST_BREADANDBLOOD_DESC,Aiuta il campo avanzato e porta notizie tra Corin e Alaric.
QUEST_BREADANDBLOOD_NAME,Pane e sangue
QUEST_BREADANDBLOOD_TASKGROUP_0_DESC,Riferisci ad Alaric
QUEST_BREADANDBLOOD_TASKGROUP_0_TASK_0,Riferisci ad Alaric
QUEST_BREADANDBLOOD_TASKGROUP_1_DESC,Aiuta gli abitanti del campo avanzato
QUEST_BREADANDBLOOD_TASKGROUP_1_TASK_0,"Completa la missione ""Pane per l'acciaio"""
QUEST_BREADANDBLOOD_TASKGROUP_1_TASK_1,"Completa la missione ""La ricerca dei dispersi"""
QUEST_BREADANDBLOOD_TASKGROUP_1_TASK_2,"Completa la missione ""Dispersione dell'adunata"""
QUEST_BREADANDBLOOD_TASKGROUP_1_TASK_3,"Completa la missione ""La pista dei trofei"""
QUEST_BREADANDBLOOD_TASKGROUP_2_DESC,Fai rapporto a Corin
QUEST_BREADANDBLOOD_TASKGROUP_2_TASK_0,Fai rapporto a Corin
QUEST_BREADFORSTEEL_DESC,Raccogli provviste e consegnale al campo avanzato.
QUEST_BREADFORSTEEL_NAME,Pane per l'acciaio
QUEST_BREADFORSTEEL_TASKGROUP_0_DESC,Aiuta gli abitanti del campo avanzato
QUEST_BREADFORSTEEL_TASKGROUP_0_TASK_0,Parla con Saqi
QUEST_BREADFORSTEEL_TASKGROUP_1_DESC,Raccogli frutta e verdura
QUEST_BREADFORSTEEL_TASKGROUP_1_TASK_0,Raccogli Carne di Bestia
QUEST_BREADFORSTEEL_TASKGROUP_1_TASK_1,Raccogli Tenderberry
QUEST_BREADFORSTEEL_TASKGROUP_1_TASK_2,Raccogli Mele
QUEST_BREADFORSTEEL_TASKGROUP_2_DESC,Consegna le provviste
QUEST_BREADFORSTEEL_TASKGROUP_2_TASK_0,Consegna le provviste al responsabile delle risorse del campo
QUEST_BREAKTHEMUSTER_DESC,Aiuta il campo avanzato con attacchi strategici che riducano la pressione degli invasori.
QUEST_BREAKTHEMUSTER_NAME,Dispersione dell'adunata
QUEST_BREAKTHEMUSTER_TASKGROUP_0_DESC,Attacchi strategici
QUEST_BREAKTHEMUSTER_TASKGROUP_0_TASK_0,Sconfiggi il Generale alla fattoria
QUEST_BREAKTHEMUSTER_TASKGROUP_0_TASK_1,Sconfiggi il Generale alla carovana saccheggiata
QUEST_BREAKTHEMUSTER_TASKGROUP_0_TASK_2,Sconfiggi i Generali Fratelli nella Radura del Varco Infranto
QUEST_BRIARHEARTBOUNTY_DESC,Uccidi Briarheart nel cuore di Wildwood.
QUEST_BRIARHEARTBOUNTY_NAME,Taglia su Briarheart
QUEST_BRIARHEARTBOUNTY_TASKGROUP_0_DESC,Uccidi Briarheart
QUEST_BRIARHEARTBOUNTY_TASKGROUP_0_TASK_0,Uccidi Briarheart il Maledetto dal Fuoco
QUEST_BRUTALBASHERS_DESC,Scova e uccidi i Goblin Picchiatori che si aggirano nei campi.
QUEST_BRUTALBASHERS_NAME,Picchiatori brutali
QUEST_BRUTALBASHERS_TASKGROUP_0_DESC,Uccidi i Goblin Picchiatori
QUEST_BRUTALBASHERS_TASKGROUP_0_TASK_0,Uccidi i Goblin Picchiatori
QUEST_CLEARINGOUTBIGCATS_DESC,Elimina i cacciatori corrotti che si annidano nei boschi bui.
QUEST_CLEARINGOUTBIGCATS_NAME,Cacciatori corrotti
QUEST_CLEARINGOUTBIGCATS_TASKGROUP_0_DESC,Uccidi i Lupi corrotti
QUEST_CLEARINGOUTBIGCATS_TASKGROUP_0_TASK_0,Uccidi i Lupi corrotti
QUEST_CLEARINGOUTPACKS_DESC,Dai la caccia ai lupi che si annidano nelle ombre della foresta.
QUEST_CLEARINGOUTPACKS_NAME,Branchi da sfoltire
QUEST_CLEARINGOUTPACKS_TASKGROUP_0_DESC,Uccidi i Lupi
QUEST_CLEARINGOUTPACKS_TASKGROUP_0_TASK_0,Uccidi i Lupi
QUEST_CLEARINGOUTSTABBERS_DESC,Scova ed elimina i Goblin Squartatori a Wildwood.
QUEST_CLEARINGOUTSTABBERS_NAME,Squartatori da abbattere
QUEST_CLEARINGOUTSTABBERS_TASKGROUP_0_DESC,Uccidi i Goblin Squartatori
QUEST_CLEARINGOUTSTABBERS_TASKGROUP_0_TASK_0,Uccidi i Goblin Squartatori
QUEST_CLEARINGOUTTHECORRUPTION_DESC,Elimina le radici e gli spiriti corrotti che avanzano verso la strada.
QUEST_CLEARINGOUTTHECORRUPTION_NAME,Bonifica della corruzione
QUEST_CLEARINGOUTTHECORRUPTION_TASKGROUP_0_DESC,Elimina la corruzione
QUEST_CLEARINGOUTTHECORRUPTION_TASKGROUP_0_TASK_0,Uccidi le Tessiradici
QUEST_CLEARINGOUTTHECORRUPTION_TASKGROUP_0_TASK_1,Uccidi i Treant
QUEST_CLEARINGOUTTHEYARD_DESC,Scaccia i goblin dal Deposito di Cordwyn.
QUEST_CLEARINGOUTTHEYARD_NAME,Liberazione del deposito
QUEST_CLEARINGOUTTHEYARD_TASKGROUP_0_DESC,Uccidi i Goblin
QUEST_CLEARINGOUTTHEYARD_TASKGROUP_0_TASK_0,Uccidi i Goblin Squartatori
QUEST_CLEARINGOUTTHEYARD_TASKGROUP_0_TASK_1,Uccidi i Goblin Flaskrat
QUEST_CLEARINGOUTTREES_DESC,Abbatti i letali Treant lungo il sentiero verso il Re della Foresta.
QUEST_CLEARINGOUTTREES_NAME,Abbattimento dei Treant
QUEST_CLEARINGOUTTREES_TASKGROUP_0_DESC,Apri il sentiero corrotto
QUEST_CLEARINGOUTTREES_TASKGROUP_0_TASK_0,Uccidi i Treant
QUEST_CLEARTHEFORESTNEARTHEROAD_DESC,Sfoltisci i branchi che cacciano lungo la strada della foresta.
QUEST_CLEARTHEFORESTNEARTHEROAD_NAME,Ripulisci la foresta lungo la strada
QUEST_CLEARTHEFORESTNEARTHEROAD_TASKGROUP_0_DESC,Sfoltisci i branchi
QUEST_CLEARTHEFORESTNEARTHEROAD_TASKGROUP_0_TASK_0,Uccidi i Lupi
QUEST_CLEARTHEQUARRY_DESC,Elimina i Droop che hanno occupato la cava.
QUEST_CLEARTHEQUARRY_NAME,Bonifica della cava
QUEST_CLEARTHEQUARRY_TASKGROUP_0_DESC,Raggiungi la Cava di Earlwood
QUEST_CLEARTHEQUARRY_TASKGROUP_0_TASK_0,Raggiungi la Cava di Earlwood
QUEST_CLEARTHEQUARRY_TASKGROUP_1_DESC,Elimina i Droop
QUEST_CLEARTHEQUARRY_TASKGROUP_1_TASK_0,Uccidi i Droop
QUEST_CLEARTHEQUARRY_TASKGROUP_1_TASK_1,Uccidi i Drooplet
QUEST_CLEARTHEQUARRY_TASKGROUP_2_DESC,Sconfiggi la Rivercaller
